,Pclass,Age,SibSp,Parch,Fare,feamle,male,Embarked_C,Embarked_Q,Embarked_S,Survived
490,3,30.0,1,0,19.9667,0,1,0,0,1,0
491,3,21.0,0,0,7.25,0,1,0,0,1,0
492,1,55.0,0,0,30.5,0,1,0,0,1,0
493,1,71.0,0,0,49.5042,0,1,1,0,0,0
494,3,21.0,0,0,8.05,0,1,0,0,1,0
495,3,30.0,0,0,14.4583,0,1,1,0,0,0
496,1,54.0,1,0,78.2667,1,0,1,0,0,1
497,3,30.0,0,0,15.1,0,1,0,0,1,0
498,1,25.0,1,2,151.55,1,0,0,0,1,0
499,3,24.0,0,0,7.7958,0,1,0,0,1,0
500,3,17.0,0,0,8.6625,0,1,0,0,1,0
501,3,21.0,0,0,7.75,1,0,0,1,0,0
502,3,30.0,0,0,7.6292,1,0,0,1,0,0
503,3,37.0,0,0,9.5875,1,0,0,0,1,0
504,1,16.0,0,0,86.5,1,0,0,0,1,1
505,1,18.0,1,0,108.9,0,1,1,0,0,0
506,2,33.0,0,2,26.0,1,0,0,0,1,1
507,1,30.0,0,0,26.55,0,1,0,0,1,1
508,3,28.0,0,0,22.525,0,1,0,0,1,0
509,3,26.0,0,0,56.4958,0,1,0,0,1,1
510,3,29.0,0,0,7.75,0,1,0,1,0,1
511,3,30.0,0,0,8.05,0,1,0,0,1,0
512,1,36.0,0,0,26.2875,0,1,0,0,1,1
513,1,54.0,1,0,59.4,1,0,1,0,0,1
514,3,24.0,0,0,7.4958,0,1,0,0,1,0
515,1,47.0,0,0,34.0208,0,1,0,0,1,0
516,2,34.0,0,0,10.5,1,0,0,0,1,1
517,3,30.0,0,0,24.15,0,1,0,1,0,0
518,2,36.0,1,0,26.0,1,0,0,0,1,1
519,3,32.0,0,0,7.8958,0,1,0,0,1,0
520,1,30.0,0,0,93.5,1,0,0,0,1,1
521,3,22.0,0,0,7.8958,0,1,0,0,1,0
522,3,30.0,0,0,7.225,0,1,1,0,0,0
523,1,44.0,0,1,57.9792,1,0,1,0,0,1
524,3,30.0,0,0,7.2292,0,1,1,0,0,0
525,3,40.5,0,0,7.75,0,1,0,1,0,0
526,2,50.0,0,0,10.5,1,0,0,0,1,1
527,1,30.0,0,0,221.7792,0,1,0,0,1,0
528,3,39.0,0,0,7.925,0,1,0,0,1,0
529,2,23.0,2,1,11.5,0,1,0,0,1,0
530,2,2.0,1,1,26.0,1,0,0,0,1,1
531,3,30.0,0,0,7.2292,0,1,1,0,0,0
532,3,17.0,1,1,7.2292,0,1,1,0,0,0
533,3,30.0,0,2,22.3583,1,0,1,0,0,1
534,3,30.0,0,0,8.6625,1,0,0,0,1,0
535,2,7.0,0,2,26.25,1,0,0,0,1,1
536,1,45.0,0,0,26.55,0,1,0,0,1,0
537,1,30.0,0,0,106.425,1,0,1,0,0,1
538,3,30.0,0,0,14.5,0,1,0,0,1,0
539,1,22.0,0,2,49.5,1,0,1,0,0,1
540,1,36.0,0,2,71.0,1,0,0,0,1,1
541,3,9.0,4,2,31.275,1,0,0,0,1,0
542,3,11.0,4,2,31.275,1,0,0,0,1,0
543,2,32.0,1,0,26.0,0,1,0,0,1,1
544,1,50.0,1,0,106.425,0,1,1,0,0,0
545,1,64.0,0,0,26.0,0,1,0,0,1,0
546,2,19.0,1,0,26.0,1,0,0,0,1,1
547,2,30.0,0,0,13.8625,0,1,1,0,0,1
548,3,33.0,1,1,20.525,0,1,0,0,1,0
549,2,8.0,1,1,36.75,0,1,0,0,1,1
550,1,17.0,0,2,110.8833,0,1,1,0,0,1
551,2,27.0,0,0,26.0,0,1,0,0,1,0
552,3,30.0,0,0,7.8292,0,1,0,1,0,0
553,3,22.0,0,0,7.225,0,1,1,0,0,1
554,3,22.0,0,0,7.775,1,0,0,0,1,1
555,1,62.0,0,0,26.55,0,1,0,0,1,0
556,1,48.0,1,0,39.6,1,0,1,0,0,1
557,1,30.0,0,0,227.525,0,1,1,0,0,0
558,1,39.0,1,1,79.65,1,0,0,0,1,1
559,3,36.0,1,0,17.4,1,0,0,0,1,1
560,3,30.0,0,0,7.75,0,1,0,1,0,0
561,3,40.0,0,0,7.8958,0,1,0,0,1,0
562,2,28.0,0,0,13.5,0,1,0,0,1,0
563,3,30.0,0,0,8.05,0,1,0,0,1,0
564,3,30.0,0,0,8.05,1,0,0,0,1,0
565,3,24.0,2,0,24.15,0,1,0,0,1,0
566,3,19.0,0,0,7.8958,0,1,0,0,1,0
567,3,29.0,0,4,21.075,1,0,0,0,1,0
568,3,30.0,0,0,7.2292,0,1,1,0,0,0
569,3,32.0,0,0,7.8542,0,1,0,0,1,1
570,2,62.0,0,0,10.5,0,1,0,0,1,1
571,1,53.0,2,0,51.4792,1,0,0,0,1,1
572,1,36.0,0,0,26.3875,0,1,0,0,1,1
573,3,30.0,0,0,7.75,1,0,0,1,0,1
574,3,16.0,0,0,8.05,0,1,0,0,1,0
575,3,19.0,0,0,14.5,0,1,0,0,1,0
576,2,34.0,0,0,13.0,1,0,0,0,1,1
577,1,39.0,1,0,55.9,1,0,0,0,1,1
578,3,30.0,1,0,14.4583,1,0,1,0,0,0
579,3,32.0,0,0,7.925,0,1,0,0,1,1
580,2,25.0,1,1,30.0,1,0,0,0,1,1
581,1,39.0,1,1,110.8833,1,0,1,0,0,1
582,2,54.0,0,0,26.0,0,1,0,0,1,0
583,1,36.0,0,0,40.125,0,1,1,0,0,0
584,3,30.0,0,0,8.7125,0,1,1,0,0,0
585,1,18.0,0,2,79.65,1,0,0,0,1,1
586,2,47.0,0,0,15.0,0,1,0,0,1,0
587,1,60.0,1,1,79.2,0,1,1,0,0,1
588,3,22.0,0,0,8.05,0,1,0,0,1,0
589,3,30.0,0,0,8.05,0,1,0,0,1,0
590,3,35.0,0,0,7.125,0,1,0,0,1,0
591,1,52.0,1,0,78.2667,1,0,1,0,0,1
592,3,47.0,0,0,7.25,0,1,0,0,1,0
593,3,30.0,0,2,7.75,1,0,0,1,0,0
594,2,37.0,1,0,26.0,0,1,0,0,1,0
595,3,36.0,1,1,24.15,0,1,0,0,1,0
596,2,30.0,0,0,33.0,1,0,0,0,1,1
597,3,49.0,0,0,0.0,0,1,0,0,1,0
598,3,30.0,0,0,7.225,0,1,1,0,0,0
599,1,49.0,1,0,56.9292,0,1,1,0,0,1
600,2,24.0,2,1,27.0,1,0,0,0,1,1
601,3,30.0,0,0,7.8958,0,1,0,0,1,0
602,1,30.0,0,0,42.4,0,1,0,0,1,0
603,3,44.0,0,0,8.05,0,1,0,0,1,0
604,1,35.0,0,0,26.55,0,1,1,0,0,1
605,3,36.0,1,0,15.55,0,1,0,0,1,0
606,3,30.0,0,0,7.8958,0,1,0,0,1,0
607,1,27.0,0,0,30.5,0,1,0,0,1,1
608,2,22.0,1,2,41.5792,1,0,1,0,0,1
609,1,40.0,0,0,153.4625,1,0,0,0,1,1
610,3,39.0,1,5,31.275,1,0,0,0,1,0
611,3,30.0,0,0,7.05,0,1,0,0,1,0
612,3,30.0,1,0,15.5,1,0,0,1,0,1
613,3,30.0,0,0,7.75,0,1,0,1,0,0
614,3,35.0,0,0,8.05,0,1,0,0,1,0
615,2,24.0,1,2,65.0,1,0,0,0,1,1
616,3,34.0,1,1,14.4,0,1,0,0,1,0
617,3,26.0,1,0,16.1,1,0,0,0,1,0
618,2,4.0,2,1,39.0,1,0,0,0,1,1
619,2,26.0,0,0,10.5,0,1,0,0,1,0
620,3,27.0,1,0,14.4542,0,1,1,0,0,0
621,1,42.0,1,0,52.5542,0,1,0,0,1,1
622,3,20.0,1,1,15.7417,0,1,1,0,0,1
623,3,21.0,0,0,7.8542,0,1,0,0,1,0
624,3,21.0,0,0,16.1,0,1,0,0,1,0
625,1,61.0,0,0,32.3208,0,1,0,0,1,0
626,2,57.0,0,0,12.35,0,1,0,1,0,0
627,1,21.0,0,0,77.9583,1,0,0,0,1,1
628,3,26.0,0,0,7.8958,0,1,0,0,1,0
629,3,30.0,0,0,7.7333,0,1,0,1,0,0
630,1,80.0,0,0,30.0,0,1,0,0,1,1
631,3,51.0,0,0,7.0542,0,1,0,0,1,0
632,1,32.0,0,0,30.5,0,1,1,0,0,1
633,1,30.0,0,0,0.0,0,1,0,0,1,0
634,3,9.0,3,2,27.9,1,0,0,0,1,0
635,2,28.0,0,0,13.0,1,0,0,0,1,1
636,3,32.0,0,0,7.925,0,1,0,0,1,0
637,2,31.0,1,1,26.25,0,1,0,0,1,0
638,3,41.0,0,5,39.6875,1,0,0,0,1,0
639,3,30.0,1,0,16.1,0,1,0,0,1,0
640,3,20.0,0,0,7.8542,0,1,0,0,1,0
641,1,24.0,0,0,69.3,1,0,1,0,0,1
642,3,2.0,3,2,27.9,1,0,0,0,1,0
643,3,30.0,0,0,56.4958,0,1,0,0,1,1
644,3,0.75,2,1,19.2583,1,0,1,0,0,1
645,1,48.0,1,0,76.7292,0,1,1,0,0,1
646,3,19.0,0,0,7.8958,0,1,0,0,1,0
647,1,56.0,0,0,35.5,0,1,1,0,0,1
648,3,30.0,0,0,7.55,0,1,0,0,1,0
649,3,23.0,0,0,7.55,1,0,0,0,1,1
650,3,30.0,0,0,7.8958,0,1,0,0,1,0
651,2,18.0,0,1,23.0,1,0,0,0,1,1
652,3,21.0,0,0,8.4333,0,1,0,0,1,0
653,3,30.0,0,0,7.8292,1,0,0,1,0,1
654,3,18.0,0,0,6.75,1,0,0,1,0,0
655,2,24.0,2,0,73.5,0,1,0,0,1,0
656,3,30.0,0,0,7.8958,0,1,0,0,1,0
657,3,32.0,1,1,15.5,1,0,0,1,0,0
658,2,23.0,0,0,13.0,0,1,0,0,1,0
659,1,58.0,0,2,113.275,0,1,1,0,0,0
660,1,50.0,2,0,133.65,0,1,0,0,1,1
661,3,40.0,0,0,7.225,0,1,1,0,0,0
662,1,47.0,0,0,25.5875,0,1,0,0,1,0
663,3,36.0,0,0,7.4958,0,1,0,0,1,0
664,3,20.0,1,0,7.925,0,1,0,0,1,1
665,2,32.0,2,0,73.5,0,1,0,0,1,0
666,2,25.0,0,0,13.0,0,1,0,0,1,0
667,3,30.0,0,0,7.775,0,1,0,0,1,0
668,3,43.0,0,0,8.05,0,1,0,0,1,0
669,1,30.0,1,0,52.0,1,0,0,0,1,1
670,2,40.0,1,1,39.0,1,0,0,0,1,1
671,1,31.0,1,0,52.0,0,1,0,0,1,0
672,2,70.0,0,0,10.5,0,1,0,0,1,0
673,2,31.0,0,0,13.0,0,1,0,0,1,1
674,2,30.0,0,0,0.0,0,1,0,0,1,0
675,3,18.0,0,0,7.775,0,1,0,0,1,0
676,3,24.5,0,0,8.05,0,1,0,0,1,0
677,3,18.0,0,0,9.8417,1,0,0,0,1,1
678,3,43.0,1,6,46.9,1,0,0,0,1,0
679,1,36.0,0,1,512.3292,0,1,1,0,0,1
680,3,30.0,0,0,8.1375,1,0,0,1,0,0
681,1,27.0,0,0,76.7292,0,1,1,0,0,1
682,3,20.0,0,0,9.225,0,1,0,0,1,0
683,3,14.0,5,2,46.9,0,1,0,0,1,0
684,2,60.0,1,1,39.0,0,1,0,0,1,0
685,2,25.0,1,2,41.5792,0,1,1,0,0,0
686,3,14.0,4,1,39.6875,0,1,0,0,1,0
687,3,19.0,0,0,10.1708,0,1,0,0,1,0
688,3,18.0,0,0,7.7958,0,1,0,0,1,0
689,1,15.0,0,1,211.3375,1,0,0,0,1,1
690,1,31.0,1,0,57.0,0,1,0,0,1,1
691,3,4.0,0,1,13.4167,1,0,1,0,0,1
692,3,30.0,0,0,56.4958,0,1,0,0,1,1
693,3,25.0,0,0,7.225,0,1,1,0,0,0
694,1,60.0,0,0,26.55,0,1,0,0,1,0
695,2,52.0,0,0,13.5,0,1,0,0,1,0
696,3,44.0,0,0,8.05,0,1,0,0,1,0
697,3,30.0,0,0,7.7333,1,0,0,1,0,1
698,1,49.0,1,1,110.8833,0,1,1,0,0,0
699,3,42.0,0,0,7.65,0,1,0,0,1,0
700,1,18.0,1,0,227.525,1,0,1,0,0,1
701,1,35.0,0,0,26.2875,0,1,0,0,1,1
702,3,18.0,0,1,14.4542,1,0,1,0,0,0
703,3,25.0,0,0,7.7417,0,1,0,1,0,0
704,3,26.0,1,0,7.8542,0,1,0,0,1,0
705,2,39.0,0,0,26.0,0,1,0,0,1,0
706,2,45.0,0,0,13.5,1,0,0,0,1,1
707,1,42.0,0,0,26.2875,0,1,0,0,1,1
708,1,22.0,0,0,151.55,1,0,0,0,1,1
709,3,30.0,1,1,15.2458,0,1,1,0,0,1
710,1,24.0,0,0,49.5042,1,0,1,0,0,1
711,1,30.0,0,0,26.55,0,1,0,0,1,0
712,1,48.0,1,0,52.0,0,1,0,0,1,1
713,3,29.0,0,0,9.4833,0,1,0,0,1,0
714,2,52.0,0,0,13.0,0,1,0,0,1,0
715,3,19.0,0,0,7.65,0,1,0,0,1,0
716,1,38.0,0,0,227.525,1,0,1,0,0,1
717,2,27.0,0,0,10.5,1,0,0,0,1,1
718,3,30.0,0,0,15.5,0,1,0,1,0,0
719,3,33.0,0,0,7.775,0,1,0,0,1,0
720,2,6.0,0,1,33.0,1,0,0,0,1,1
721,3,17.0,1,0,7.0542,0,1,0,0,1,0
722,2,34.0,0,0,13.0,0,1,0,0,1,0
723,2,50.0,0,0,13.0,0,1,0,0,1,0
724,1,27.0,1,0,53.1,0,1,0,0,1,1
725,3,20.0,0,0,8.6625,0,1,0,0,1,0
726,2,30.0,3,0,21.0,1,0,0,0,1,1
727,3,30.0,0,0,7.7375,1,0,0,1,0,1
728,2,25.0,1,0,26.0,0,1,0,0,1,0
729,3,25.0,1,0,7.925,1,0,0,0,1,0
730,1,29.0,0,0,211.3375,1,0,0,0,1,1
731,3,11.0,0,0,18.7875,0,1,1,0,0,0
732,2,30.0,0,0,0.0,0,1,0,0,1,0
733,2,23.0,0,0,13.0,0,1,0,0,1,0
734,2,23.0,0,0,13.0,0,1,0,0,1,0
735,3,28.5,0,0,16.1,0,1,0,0,1,0
736,3,48.0,1,3,34.375,1,0,0,0,1,0
737,1,35.0,0,0,512.3292,0,1,1,0,0,1
738,3,30.0,0,0,7.8958,0,1,0,0,1,0
739,3,30.0,0,0,7.8958,0,1,0,0,1,0
740,1,30.0,0,0,30.0,0,1,0,0,1,1
741,1,36.0,1,0,78.85,0,1,0,0,1,0
742,1,21.0,2,2,262.375,1,0,1,0,0,1
743,3,24.0,1,0,16.1,0,1,0,0,1,0
744,3,31.0,0,0,7.925,0,1,0,0,1,1
745,1,70.0,1,1,71.0,0,1,0,0,1,0
746,3,16.0,1,1,20.25,0,1,0,0,1,0
747,2,30.0,0,0,13.0,1,0,0,0,1,1
748,1,19.0,1,0,53.1,0,1,0,0,1,0
749,3,31.0,0,0,7.75,0,1,0,1,0,0
750,2,4.0,1,1,23.0,1,0,0,0,1,1
751,3,6.0,0,1,12.475,0,1,0,0,1,1
752,3,33.0,0,0,9.5,0,1,0,0,1,0
753,3,23.0,0,0,7.8958,0,1,0,0,1,0
754,2,48.0,1,2,65.0,1,0,0,0,1,1
755,2,0.67,1,1,14.5,0,1,0,0,1,1
756,3,28.0,0,0,7.7958,0,1,0,0,1,0
757,2,18.0,0,0,11.5,0,1,0,0,1,0
758,3,34.0,0,0,8.05,0,1,0,0,1,0
759,1,33.0,0,0,86.5,1,0,0,0,1,1
760,3,30.0,0,0,14.5,0,1,0,0,1,0
761,3,41.0,0,0,7.125,0,1,0,0,1,0
762,3,20.0,0,0,7.2292,0,1,1,0,0,1
763,1,36.0,1,2,120.0,1,0,0,0,1,1
764,3,16.0,0,0,7.775,0,1,0,0,1,0
765,1,51.0,1,0,77.9583,1,0,0,0,1,1
766,1,30.0,0,0,39.6,0,1,1,0,0,0
767,3,30.5,0,0,7.75,1,0,0,1,0,0
768,3,30.0,1,0,24.15,0,1,0,1,0,0
769,3,32.0,0,0,8.3625,0,1,0,0,1,0
770,3,24.0,0,0,9.5,0,1,0,0,1,0
771,3,48.0,0,0,7.8542,0,1,0,0,1,0
772,2,57.0,0,0,10.5,1,0,0,0,1,0
773,3,30.0,0,0,7.225,0,1,1,0,0,0
774,2,54.0,1,3,23.0,1,0,0,0,1,1
775,3,18.0,0,0,7.75,0,1,0,0,1,0
776,3,30.0,0,0,7.75,0,1,0,1,0,0
777,3,5.0,0,0,12.475,1,0,0,0,1,1
778,3,30.0,0,0,7.7375,0,1,0,1,0,0
779,1,43.0,0,1,211.3375,1,0,0,0,1,1
780,3,13.0,0,0,7.2292,1,0,1,0,0,1
781,1,17.0,1,0,57.0,1,0,0,0,1,1
782,1,29.0,0,0,30.0,0,1,0,0,1,0
783,3,30.0,1,2,23.45,0,1,0,0,1,0
784,3,25.0,0,0,7.05,0,1,0,0,1,0
785,3,25.0,0,0,7.25,0,1,0,0,1,0
786,3,18.0,0,0,7.4958,1,0,0,0,1,1
787,3,8.0,4,1,29.125,0,1,0,1,0,0
788,3,1.0,1,2,20.575,0,1,0,0,1,1
789,1,46.0,0,0,79.2,0,1,1,0,0,0
790,3,30.0,0,0,7.75,0,1,0,1,0,0
791,2,16.0,0,0,26.0,0,1,0,0,1,0
792,3,30.0,8,2,69.55,1,0,0,0,1,0
793,1,30.0,0,0,30.6958,0,1,1,0,0,0
794,3,25.0,0,0,7.8958,0,1,0,0,1,0
795,2,39.0,0,0,13.0,0,1,0,0,1,0
796,1,49.0,0,0,25.9292,1,0,0,0,1,1
797,3,31.0,0,0,8.6833,1,0,0,0,1,1
798,3,30.0,0,0,7.2292,0,1,1,0,0,0
799,3,30.0,1,1,24.15,1,0,0,0,1,0
800,2,34.0,0,0,13.0,0,1,0,0,1,0
801,2,31.0,1,1,26.25,1,0,0,0,1,1
802,1,11.0,1,2,120.0,0,1,0,0,1,1
803,3,0.42,0,1,8.5167,0,1,1,0,0,1
804,3,27.0,0,0,6.975,0,1,0,0,1,1
805,3,31.0,0,0,7.775,0,1,0,0,1,0
806,1,39.0,0,0,0.0,0,1,0,0,1,0
807,3,18.0,0,0,7.775,1,0,0,0,1,0
808,2,39.0,0,0,13.0,0,1,0,0,1,0
809,1,33.0,1,0,53.1,1,0,0,0,1,1
810,3,26.0,0,0,7.8875,0,1,0,0,1,0
811,3,39.0,0,0,24.15,0,1,0,0,1,0
812,2,35.0,0,0,10.5,0,1,0,0,1,0
813,3,6.0,4,2,31.275,1,0,0,0,1,0
814,3,30.5,0,0,8.05,0,1,0,0,1,0
815,1,30.0,0,0,0.0,0,1,0,0,1,0
816,3,23.0,0,0,7.925,1,0,0,0,1,0
817,2,31.0,1,1,37.0042,0,1,1,0,0,0
818,3,43.0,0,0,6.45,0,1,0,0,1,0
819,3,10.0,3,2,27.9,0,1,0,0,1,0
820,1,52.0,1,1,93.5,1,0,0,0,1,1
821,3,27.0,0,0,8.6625,0,1,0,0,1,1
822,1,38.0,0,0,0.0,0,1,0,0,1,0
823,3,27.0,0,1,12.475,1,0,0,0,1,1
824,3,2.0,4,1,39.6875,0,1,0,0,1,0
825,3,30.0,0,0,6.95,0,1,0,1,0,0
826,3,30.0,0,0,56.4958,0,1,0,0,1,0
827,2,1.0,0,2,37.0042,0,1,1,0,0,1
828,3,30.0,0,0,7.75,0,1,0,1,0,1
829,1,62.0,0,0,80.0,1,0,0,0,0,1
830,3,15.0,1,0,14.4542,1,0,1,0,0,1
831,2,0.83,1,1,18.75,0,1,0,0,1,1
832,3,30.0,0,0,7.2292,0,1,1,0,0,0
833,3,23.0,0,0,7.8542,0,1,0,0,1,0
834,3,18.0,0,0,8.3,0,1,0,0,1,0
835,1,39.0,1,1,83.1583,1,0,1,0,0,1
836,3,21.0,0,0,8.6625,0,1,0,0,1,0
837,3,30.0,0,0,8.05,0,1,0,0,1,0
838,3,32.0,0,0,56.4958,0,1,0,0,1,1
839,1,30.0,0,0,29.7,0,1,1,0,0,1
840,3,20.0,0,0,7.925,0,1,0,0,1,0
841,2,16.0,0,0,10.5,0,1,0,0,1,0
842,1,30.0,0,0,31.0,1,0,1,0,0,1
843,3,34.5,0,0,6.4375,0,1,1,0,0,0
844,3,17.0,0,0,8.6625,0,1,0,0,1,0
845,3,42.0,0,0,7.55,0,1,0,0,1,0
846,3,30.0,8,2,69.55,0,1,0,0,1,0
847,3,35.0,0,0,7.8958,0,1,1,0,0,0
848,2,28.0,0,1,33.0,0,1,0,0,1,0
849,1,30.0,1,0,89.1042,1,0,1,0,0,1
850,3,4.0,4,2,31.275,0,1,0,0,1,0
851,3,74.0,0,0,7.775,0,1,0,0,1,0
852,3,9.0,1,1,15.2458,1,0,1,0,0,0
853,1,16.0,0,1,39.4,1,0,0,0,1,1
854,2,44.0,1,0,26.0,1,0,0,0,1,0
855,3,18.0,0,1,9.35,1,0,0,0,1,1
856,1,45.0,1,1,164.8667,1,0,0,0,1,1
857,1,51.0,0,0,26.55,0,1,0,0,1,1
858,3,24.0,0,3,19.2583,1,0,1,0,0,1
859,3,30.0,0,0,7.2292,0,1,1,0,0,0
860,3,41.0,2,0,14.1083,0,1,0,0,1,0
861,2,21.0,1,0,11.5,0,1,0,0,1,0
862,1,48.0,0,0,25.9292,1,0,0,0,1,1
863,3,30.0,8,2,69.55,1,0,0,0,1,0
864,2,24.0,0,0,13.0,0,1,0,0,1,0
865,2,42.0,0,0,13.0,1,0,0,0,1,1
866,2,27.0,1,0,13.8583,1,0,1,0,0,1
867,1,31.0,0,0,50.4958,0,1,0,0,1,0
868,3,30.0,0,0,9.5,0,1,0,0,1,0
869,3,4.0,1,1,11.1333,0,1,0,0,1,1
870,3,26.0,0,0,7.8958,0,1,0,0,1,0
871,1,47.0,1,1,52.5542,1,0,0,0,1,1
872,1,33.0,0,0,5.0,0,1,0,0,1,0
873,3,47.0,0,0,9.0,0,1,0,0,1,0
874,2,28.0,1,0,24.0,1,0,1,0,0,1
875,3,15.0,0,0,7.225,1,0,1,0,0,1
876,3,20.0,0,0,9.8458,0,1,0,0,1,0
877,3,19.0,0,0,7.8958,0,1,0,0,1,0
878,3,30.0,0,0,7.8958,0,1,0,0,1,0
879,1,56.0,0,1,83.1583,1,0,1,0,0,1
880,2,25.0,0,1,26.0,1,0,0,0,1,1
881,3,33.0,0,0,7.8958,0,1,0,0,1,0
882,3,22.0,0,0,10.5167,1,0,0,0,1,0
883,2,28.0,0,0,10.5,0,1,0,0,1,0
884,3,25.0,0,0,7.05,0,1,0,0,1,0
885,3,39.0,0,5,29.125,1,0,0,1,0,0
886,2,27.0,0,0,13.0,0,1,0,0,1,0
887,1,19.0,0,0,30.0,1,0,0,0,1,1
888,3,30.0,1,2,23.45,1,0,0,0,1,0
889,1,26.0,0,0,30.0,0,1,1,0,0,1
890,3,32.0,0,0,7.75,0,1,0,1,0,0
891,3,34.5,0,0,7.8292,0,1,0,1,0,0
892,3,47.0,1,0,7.0,1,0,0,0,1,1
893,2,62.0,0,0,9.6875,0,1,0,1,0,0
894,3,27.0,0,0,8.6625,0,1,0,0,1,0
895,3,22.0,1,1,12.2875,1,0,0,0,1,1
896,3,14.0,0,0,9.225,0,1,0,0,1,1
897,3,30.0,0,0,7.6292,1,0,0,1,0,0
898,2,26.0,1,1,29.0,0,1,0,0,1,1
899,3,18.0,0,0,7.2292,1,0,1,0,0,1
900,3,21.0,2,0,24.15,0,1,0,0,1,0
901,3,30.0,0,0,7.8958,0,1,0,0,1,0
902,1,46.0,0,0,26.0,0,1,0,0,1,0
903,1,23.0,1,0,82.2667,1,0,0,0,1,1
904,2,63.0,1,0,26.0,0,1,0,0,1,0
905,1,47.0,1,0,61.175,1,0,0,0,1,1
906,2,24.0,1,0,27.7208,1,0,1,0,0,1
907,2,35.0,0,0,12.35,0,1,0,1,0,0
908,3,21.0,0,0,7.225,0,1,1,0,0,0
909,3,27.0,1,0,7.925,1,0,0,0,1,0
910,1,55.0,1,0,59.4,0,1,1,0,0,0
911,3,9.0,0,1,3.1708,0,1,0,0,1,1
912,1,30.0,0,0,31.6833,1,0,0,0,1,1
913,1,21.0,0,1,61.3792,0,1,1,0,0,1
914,1,48.0,1,3,262.375,1,0,1,0,0,1
915,3,50.0,1,0,14.5,0,1,0,0,1,0
916,1,22.0,0,1,61.9792,1,0,1,0,0,1
917,3,22.5,0,0,7.225,0,1,1,0,0,0
918,1,41.0,0,0,30.5,0,1,0,0,1,0
919,3,30.0,2,0,21.6792,0,1,1,0,0,0
920,2,50.0,1,0,26.0,0,1,0,0,1,0
921,2,24.0,2,0,31.5,0,1,0,0,1,0
922,3,33.0,1,2,20.575,1,0,0,0,1,1
923,1,30.0,1,0,57.75,0,1,1,0,0,1
924,3,30.0,0,0,8.05,1,0,0,0,1,1
925,3,21.0,0,0,8.6625,1,0,0,0,1,0
926,3,25.0,0,0,9.5,0,1,0,0,1,1
927,3,30.0,0,0,56.4958,0,1,0,0,1,1
928,3,39.0,0,1,13.4167,0,1,1,0,0,1
929,1,30.0,0,0,26.55,0,1,0,0,1,0
930,3,41.0,0,0,7.85,0,1,0,0,1,0
931,2,30.0,0,0,13.0,1,0,0,0,1,0
932,1,45.0,1,0,52.5542,1,0,0,0,1,1
933,3,25.0,0,0,7.925,0,1,0,0,1,0
934,1,45.0,0,0,29.7,0,1,1,0,0,1
935,3,30.0,0,0,7.75,0,1,0,1,0,0
936,1,60.0,0,0,76.2917,1,0,1,0,0,1
937,1,24.0,1,0,60.0,0,1,0,0,1,0
938,2,27.0,0,0,15.0333,0,1,1,0,0,0
939,1,28.0,3,2,263.0,1,0,0,0,1,1
940,2,30.0,0,0,15.5792,0,1,1,0,0,0
941,3,10.0,4,1,29.125,0,1,0,1,0,0
942,3,35.0,0,0,7.8958,0,1,0,0,1,0
943,3,25.0,0,0,7.65,0,1,0,0,1,1
944,3,30.0,1,0,16.1,0,1,0,0,1,0
945,1,36.0,0,0,262.375,1,0,1,0,0,1
946,3,17.0,0,0,7.8958,0,1,0,0,1,0
947,2,32.0,0,0,13.5,0,1,0,0,1,0
948,3,18.0,0,0,7.75,0,1,0,0,1,0
949,3,22.0,0,0,7.725,1,0,0,1,0,1
950,1,13.0,2,2,262.375,0,1,1,0,0,1
951,2,30.0,0,0,21.0,1,0,0,0,1,0
952,3,18.0,0,0,7.8792,1,0,0,1,0,0
953,1,47.0,0,0,42.4,0,1,0,0,1,0
954,1,31.0,0,0,28.5375,0,1,1,0,0,1
955,1,60.0,1,4,263.0,1,0,0,0,1,1
956,3,24.0,0,0,7.75,1,0,0,1,0,1
957,3,21.0,0,0,7.8958,0,1,0,0,1,0
958,3,29.0,0,0,7.925,1,0,0,0,1,0
959,1,28.5,0,0,27.7208,0,1,1,0,0,0
960,1,35.0,0,0,211.5,1,0,1,0,0,1
961,1,32.5,0,0,211.5,0,1,1,0,0,0
962,3,30.0,0,0,8.05,0,1,0,0,1,0
963,1,55.0,2,0,25.7,1,0,0,0,1,1
964,2,30.0,0,0,13.0,0,1,0,0,1,0
965,3,24.0,0,0,7.75,1,0,0,1,0,0
966,3,6.0,1,1,15.2458,0,1,1,0,0,0
967,1,67.0,1,0,221.7792,0,1,0,0,1,0
968,1,49.0,0,0,26.0,0,1,0,0,1,0
969,3,30.0,0,0,7.8958,0,1,0,0,1,0
970,2,30.0,0,0,10.7083,0,1,0,1,0,0
971,3,30.0,1,0,14.4542,0,1,1,0,0,0
972,3,27.0,0,0,7.8792,1,0,0,1,0,0
973,3,18.0,0,0,8.05,1,0,0,0,1,1
974,3,30.0,0,0,7.75,1,0,0,1,0,0
975,2,2.0,1,1,23.0,0,1,0,0,1,1
976,3,22.0,1,0,13.9,1,0,0,0,1,1
977,3,30.0,0,0,7.775,0,1,0,0,1,0
978,1,27.0,1,2,52.0,1,0,0,0,1,1
979,3,30.0,0,0,8.05,0,1,0,0,1,0
980,1,25.0,0,0,26.0,0,1,1,0,0,0
